"ConState","Year","AllLabourInsR","InsEmpR","InsUnempR","AllLabourOutR","AllLabourInsU","InsEmpU","InsUnempU","AllLabourOutU"
"Terengganu",2000,170.3,166,4.3,101.7,145.1,140,5.1,89.1
"W.P Labuan",2000,12.5,11.6,0.9,8,14.1,13.8,0.4,7.8
"Johor",2001,383.5,367.5,15.9,214.1,895.5,868.3,27.2,452.2
"Kedah",2001,405,388,17.1,262,322.4,313.1,9.3,198.3
"Kelantan",2001,295.4,285.7,9.7,216.1,152.5,148.5,4,107.2
"Melaka",2001,71.3,69.7,1.6,47.7,201.3,198,3.2,118.8
"N. Sembilan",2001,152.9,147.7,5.2,93,209.9,203.6,6.3,108.5
"P. Pinang",2001,134.6,129.6,5.1,64.9,598.7,585.4,13.3,230.6
"Pahang",2001,237.9,230.6,7.3,147,213.7,207.1,6.6,119.1
"Perak",2001,276.6,263.1,13.5,196.3,484.7,467.5,17.1,317.2
"Perlis",2001,59.4,57.2,2.2,41.9,26.5,25.6,0.8,18.3
"Sabah",2001,557.5,523.7,33.8,262.6,490.5,455.3,35.2,284.1
"Sarawak",2001,461.9,444.3,17.6,153.9,456.1,433.1,23,231.7
"Selangor",2001,131.5,128.2,3.4,79.9,1421,1386.5,34.5,684.1
"Terengganu",2001,147.2,142.9,4.3,94,159.9,155.7,4.2,101.1
"W.P Labuan",2001,6.3,5.8,0.5,3.9,22.4,21.3,1.1,13
"Johor",2002,405.4,391.5,13.9,223.5,853.6,830.8,22.8,404.9
"Kedah",2002,398.6,386.5,12.1,249.2,267.9,258.6,9.3,176.6
"Kelantan",2002,295.6,283.6,12,207.5,144.1,139.1,5,97.6
"Melaka",2002,77.2,75,2.2,47.9,159,154.3,4.6,104.4
"N. Sembilan",2002,159.8,153.5,6.3,89.2,177.3,171.2,6.1,98.2
"P. Pinang",2002,95,92.5,2.4,50,562.3,550.6,11.7,253
"Pahang",2002,245.1,237.6,7.5,152.9,173.9,169.4,4.5,104.8
"Perak",2002,289.9,278.6,11.2,205.9,530.7,509.7,21.1,371.2
"Perlis",2002,38.1,36.8,1.2,29.4,20.7,20.1,0.6,13.2
"Sabah",2002,564.5,536.1,28.5,267.7,528.6,492.7,35.9,289.2
"Sarawak",2002,493.2,473.9,19.3,196.5,462.6,443.8,18.8,246.8
"Selangor",2002,146.5,141,5.5,91.1,1656.7,1608.8,47.9,880.7
"Terengganu",2002,150.4,145.4,4.9,99.1,138.5,134.2,4.3,88
"W.P Labuan",2002,10.1,9.6,0.5,5.6,23.9,23.3,0.6,12
"Johor",2003,432.2,414.7,17.5,220.7,883.1,854.4,28.7,410.5
"Kedah",2003,397.1,382.8,14.2,243.1,283.1,274.9,8.2,164.9
"Kelantan",2003,320.8,310.6,10.3,211.2,170.7,165.1,5.6,109
"Melaka",2003,85.2,82.7,2.5,49.7,195.3,190,5.3,116.8
"N. Sembilan",2003,151.7,145.6,6.1,81.3,200.6,194.4,6.2,103.5
"P. Pinang",2003,121.6,118.7,2.8,66.8,564.8,555.6,9.1,275.5
"Pahang",2003,264.5,254.9,9.6,160.1,212.6,205.1,7.5,120.2
"Perak",2003,286.9,270.1,16.7,200.3,484.5,464.5,20,324.5
"Perlis",2003,52.2,49.7,2.4,36.6,27.9,26.8,1.1,19.3
"Sabah",2003,575,549.7,25.3,249.1,559.5,523.4,36.2,321.9
"Sarawak",2003,466.5,449.3,17.1,178.8,479.9,460.6,19.3,240.6
"Selangor",2003,203,194.5,8.4,117.9,1692.3,1639.7,52.6,812.6
"Terengganu",2003,177.1,172.6,4.5,108.9,178,172.3,5.7,116.1
"W.P Labuan",2003,8.1,7.7,0.4,5.3,25.2,24.1,1.1,9.5
"Johor",2004,394.9,379.1,15.8,219.9,883.9,853.5,30.4,430.4
"Kedah",2004,397.9,382.1,15.8,237.4,282.5,272.4,10.1,177.9
"Kelantan",2004,292.3,280,12.2,231.1,162.9,156.6,6.3,124.4
"Melaka",2004,78.1,77,1.1,45.1,191.4,188,3.3,117
"N. Sembilan",2004,159,153.4,5.6,90.6,214.6,206.9,7.6,128
"P. Pinang",2004,120,117.7,2.4,64.9,516.7,507.3,9.4,262
"Pahang",2004,292.3,282.4,9.8,199.5,251.7,243.7,7.9,149.8
"Perak",2004,308.2,295.6,12.5,213.1,510.2,495.4,14.8,340.9
"Perlis",2004,47,45.4,1.6,36.3,29.3,28.4,0.9,20.5
"Sabah",2004,584.5,552.1,32.4,283.2,572.4,529.6,42.8,322.7
"Sarawak",2004,471.2,452.4,18.8,201.9,484,466.2,17.8,240.9
"Selangor",2004,191,182.6,8.3,113.5,1837.1,1790.7,46.4,903.8
"Terengganu",2004,173.1,167.9,5.2,110.8,174.8,169,5.8,123.5
"W.P Labuan",2004,7.9,7.6,0.3,5.3,26,24.7,1.4,10.9
"Johor",2005,355.5,343.6,11.9,221.3,924.5,893.5,31,472.5
"Kedah",2005,383.8,368.3,15.5,257.3,294.1,284.5,9.6,188.3
"Kelantan",2005,291.1,281.3,9.8,250.2,163.1,157.5,5.6,134.1
"Melaka",2005,71.6,70.6,1,46.3,202.9,200.5,2.4,121.8
"N. Sembilan",2005,149.2,142.8,6.4,91.9,237.5,230,7.5,127.6
"P. Pinang",2005,117.9,114.8,3.1,71.3,517.1,506.7,10.4,273.9
"Pahang",2005,279.9,270.3,9.5,198,262.9,254.4,8.5,169.8
"Perak",2005,297.3,284.9,12.3,222.7,531.5,516.3,15.2,351.2
"Perlis",2005,46.8,45.3,1.5,37.8,29.5,28.8,0.7,21.8
"Sabah",2005,585.9,557.7,28.2,280.9,595.9,549.1,46.9,359.8
"Sarawak",2005,472.5,453.3,19.2,217.8,477.8,457.6,20.2,262.4
"Selangor",2005,176.6,168.9,7.7,112.4,1872.2,1817,55.2,951.2
"Terengganu",2005,170.4,164.6,5.7,117.2,182.7,177.3,5.4,133.3
"W.P Labuan",2005,7.6,7.2,0.4,4.8,24.5,23.3,1.2,13.8
"Johor",2006,349.9,342,7.9,226.7,935.9,916.2,19.7,500.1
"Kedah",2006,389,375,14,261.1,293.4,281.8,11.6,206.1
"Kelantan",2006,300.3,293.4,6.9,254.4,169.5,164.9,4.5,142.2
"Melaka",2006,73.9,72.8,1.1,49.1,202.7,200.3,2.4,124.6
"N. Sembilan",2006,156.1,148.5,7.6,92.8,238.4,230.3,8.1,131.8
"P. Pinang",2006,125.4,122.5,2.9,75.6,533.5,525.2,8.3,263.8
"Pahang",2006,296.8,289.6,7.2,205,274.5,267.8,6.7,158.3
"Perak",2006,319.9,305.8,14.1,210.3,525.6,510,15.5,372.9
"Perlis",2006,48.7,47,1.7,38.6,28.3,27.5,0.7,23.3
"Sabah",2006,601.2,572.1,29.1,288.6,629.2,588,41.2,363.2
"Sarawak",2006,477.9,459.7,18.2,229.5,480.1,458.6,21.5,272.7
"Selangor",2006,178.5,172.3,6.2,111,1905.9,1845.3,60.6,980.6
"Terengganu",2006,172.8,166.7,6.1,120.8,191.8,184.8,7,140.9
"W.P Labuan",2006,7.5,7.1,0.5,5.3,26.2,23.5,2.7,13.4
