"ConState","Year","TotInsLabour","InsLabEmp","InsLabUnemp","TotOutLabour","TotInsLabourM","InsLabEmpM","InsLabUnempM","TotOutLabourM","TotInsLabourF","InsLabEmpF","InsLabUnempF","TotOutLabourF","AllTotalWorkForce","SubTotWorkForce","BumiWorkForce","ChineseWorkForce","IndianWorkForce","OtherWorkForce","SubTotForeignWorkForce"
"Kelantan",2014,646.2,625.2,21,425.2,385.2,373.8,11.5,151.8,261,251.5,9.6,273.4,646.2,614.7,583.9,24.6,1.8,4.3,31.6
"Malaysia",2014,14263.6,13852.6,411.1,6821,8823.2,8587.5,235.7,2126.2,5440.4,5265.1,175.4,4694.9,14263.6,12117.6,8042.2,3097.9,902.4,75,2146.1
"Melaka",2014,398.3,394.9,3.4,197.2,235.2,233.4,1.8,65.4,163.2,161.5,1.6,131.8,398.3,364,241,100.3,21.8,0.9,34.4
"N. Sembilan",2014,480.9,466.5,14.4,259.4,302.8,294.6,8.2,84.6,178.1,171.9,6.2,174.8,480.9,418.2,258.3,96.3,62.9,0.7,62.7
"P. Pinang",2014,852.5,839.2,13.3,348.3,485.9,479.5,6.4,117.3,366.6,359.7,6.9,231.1,852.5,739.3,330.4,335.1,71.9,1.9,113.2
"Pahang",2014,702.1,683.2,18.9,353.6,457.5,449,8.6,112.5,244.6,234.2,10.3,241,702.1,623.9,489.4,103.8,29.2,1.6,78.2
"Perak",2014,987.2,954.1,33.1,653.3,632.6,612.8,19.8,204.1,354.7,341.4,13.3,449.2,987.2,919,529,271.4,116.4,2.1,68.3
"Perlis",2014,98.5,95.2,3.3,65.6,62.6,60.7,1.9,19.3,35.9,34.5,1.3,46.3,98.5,94.4,83.6,7.4,1.4,1.9,4.1
"Sabah",2014,1831.6,1740.9,90.6,795.1,1179.4,1125.7,53.7,203.7,652.1,615.2,36.9,591.4,1831.6,1106,910.3,150.2,17.9,27.7,725.5
"Sarawak",2014,1271.4,1232.2,39.2,537.9,801.6,779.5,22.1,154.4,469.8,452.8,17.1,383.5,1271.4,1117.2,835.9,277.1,3.1,1,154.2
"Selangor",2014,3096,3033.6,62.4,1221.1,1851.2,1816.4,34.8,407.5,1244.9,1217.2,27.7,813.6,3096,2634.2,1498.7,777.3,341.6,16.5,461.8
"Terengganu",2014,432.8,414.9,17.9,283,277.6,265.7,11.9,86.6,155.2,149.1,6,196.4,432.8,413.7,401.6,11.3,0.5,0.2,19.2
"W.P Kuala Lumpur",2014,877,852,25,379.3,513.2,499.2,13.9,126.3,363.9,352.8,11.1,253,877,760.6,351,333.4,73,3.2,116.4
"W.P Labuan",2014,43,40.8,2.2,20.2,27.7,26.2,1.5,4.3,15.3,14.6,0.7,16,43,38.7,32.8,4.9,0.3,0.6,4.3
"W.P Putrajaya",2014,40.8,40.3,0.5,9.5,18.4,18.1,0.2,4,22.4,22.2,0.2,5.5,40.8,38.6,38.1,0.1,0.5,0,2.2
"Johor",2015,1633.2,1582.6,50.6,799.9,1051.6,1023.3,28.3,238.8,581.5,559.3,22.2,561.1,1633.2,1429.8,832.6,492,100.1,5.1,203.4
"Kedah",2015,905.3,881.6,23.7,496.5,548.6,535.1,13.5,165.6,356.7,346.5,10.2,330.9,905.3,833.1,651,114.8,59,8.2,72.2
"Kelantan",2015,676.2,652.1,24.1,415.3,407,394,13,140.4,269.2,258.1,11.1,274.9,676.2,643.5,613,24.3,2.1,4.1,32.6
"Malaysia",2015,14518,14067.7,450.3,6869.9,8952.8,8691,261.8,2148.7,5565.1,5376.7,188.5,4721.2,14518,12348.5,8192.4,3154,907.7,94.5,2169.4
"Melaka",2015,402.4,398.3,4.1,201.6,235.8,233.8,2,69,166.5,164.5,2,132.6,402.4,366.7,243.8,98.3,23.3,1.3,35.7
"N. Sembilan",2015,483.6,468.7,14.9,262,303.5,295,8.5,86.3,180.1,173.8,6.4,175.8,483.6,425.6,259.8,99.1,66.3,0.5,58
"P. Pinang",2015,848.1,834.2,14,365.8,493.1,483.7,9.3,118.9,355.1,350.5,4.6,246.9,848.1,735.7,327.1,331.6,75.5,1.5,112.4
"Pahang",2015,718.2,697.5,20.6,349.4,464.7,453.8,10.9,111.6,253.4,243.7,9.7,237.8,718.2,640,504.2,107.2,26.7,1.8,78.2
"Perak",2015,1014.3,981.8,32.5,636.8,643.7,624.2,19.5,199.6,370.6,357.6,13,437.3,1014.3,942.9,533.9,288.1,117.8,3.2,71.4
"Perlis",2015,101.1,98.2,3,64.7,64.3,62.3,2,18.9,36.8,35.8,1,45.9,101.1,96.3,85.1,7.7,1.6,1.9,4.8
"Sabah",2015,1863.4,1771.1,92.3,815.9,1213.3,1155,58.3,196.2,650.1,616.2,34,619.7,1863.4,1129.2,921,157.8,6.1,44.3,734.3
"Sarawak",2015,1258.3,1214.8,43.5,581.4,804,776.2,27.8,168.1,454.3,438.6,15.7,413.4,1258.3,1109,822.9,282.4,1.9,1.8,149.3
"Selangor",2015,3212.9,3135,77.9,1183.6,1881.6,1842.2,39.5,415.3,1331.3,1292.8,38.4,768.3,3212.9,2737.1,1570.8,799.1,352.5,14.7,475.8
"Terengganu",2015,438,420.5,17.5,293.4,278.6,267,11.5,92.2,159.4,153.4,5.9,201.2,438,419.8,406.5,12.4,0.8,0.1,18.1
"W.P Kuala Lumpur",2015,882.6,853.4,29.1,369.6,518.3,502.4,15.9,118.4,364.3,351.1,13.2,251.3,882.6,766.2,352.5,334.9,73.4,5.4,116.3
"W.P Labuan",2015,41.5,39.5,2.1,22.9,27.2,25.8,1.4,5.3,14.4,13.7,0.7,17.6,41.5,36.9,32,4.1,0.2,0.6,4.7
"W.P Putrajaya",2015,38.9,38.5,0.4,10.8,17.5,17.3,0.2,4.2,21.4,21.2,0.2,6.7,38.9,36.8,36.3,0.1,0.4,0,2.1
"Johor",2016,1639.1,1580.6,58.5,820.7,1062.9,1026.5,36.4,242.3,576.2,554.2,22,578.4,1639.1,1422.1,827.4,485.1,104.9,4.7,217
"Kedah",2016,910.9,884.3,26.6,508.4,553.1,539.2,13.8,170,357.8,345.1,12.8,338.4,910.9,841.2,660.4,113.2,59.2,8.4,69.8
"Kelantan",2016,657.8,632.9,24.9,454.8,404.6,390.6,14,155.4,253.2,242.3,10.9,299.4,657.8,624.9,595.1,24.4,1.8,3.6,33
"Malaysia",2016,14667.8,14163.7,504.1,6987.6,9012.1,8729.7,282.4,2229.7,5655.7,5434,221.7,4757.9,14667.8,12406.6,8206.1,3192.6,906.1,101.9,2261.2
"Melaka",2016,400.8,397.3,3.5,211.9,236.7,235,1.7,72.1,164.1,162.3,1.8,139.8,400.8,367.4,244.9,97.8,23.6,1.1,33.4
"N. Sembilan",2016,479.7,466.9,12.8,262.1,297.6,290,7.6,88.1,182.1,176.9,5.2,173.9,479.7,421.6,258.5,99.1,63.1,0.9,58.2
"P. Pinang",2016,845.5,827.4,18.1,379.8,493.5,482.5,11,123.8,352,344.9,7.1,256,845.5,731,324.4,332.5,72,2.1,114.5
"Pahang",2016,710.5,692.2,18.3,366.5,457.9,449.1,8.7,123.2,252.7,243.1,9.5,243.3,710.5,634.6,496.9,108,27.8,1.8,76
"Perak",2016,1023.1,988.2,34.8,635.5,643.6,626.1,17.4,202.7,379.5,362.1,17.4,432.8,1023.1,948.4,548.7,282.6,114.9,2.2,74.7
"Perlis",2016,103.1,100.1,3,64.4,64.5,62.8,1.7,19.5,38.7,37.3,1.4,44.9,103.2,98.2,87.1,7.9,1.2,1.9,5
"Sabah",2016,1927.1,1823.7,103.3,793.4,1221.7,1161.6,60,209.5,705.4,662.1,43.3,584,1927.1,1146.4,927,157.8,9.4,52.1,780.7
"Sarawak",2016,1260.1,1218.2,41.9,602.5,812.1,785.8,26.3,173.2,448,432.4,15.6,429.2,1260.1,1100,816.4,279.4,2.5,1.7,160.1
"Selangor",2016,3325,3217.6,107.4,1156.1,1926.7,1874.4,52.2,415.8,1398.3,1343.2,55.1,740.3,3325,2823.3,1594.4,860.4,353.3,15.2,501.7
"Terengganu",2016,447.2,428.5,18.6,297.6,288,274.5,13.5,89.8,159.2,154,5.2,207.8,447.2,428.9,413.7,14.4,0.6,0.2,18.3
"W.P Kuala Lumpur",2016,855.4,827.2,28.2,400.7,503.4,487.9,15.5,135,352,339.3,12.6,265.7,855.4,743,341.2,325.4,71.1,5.4,112.3
"W.P Labuan",2016,43.6,40.2,3.4,21.9,28.1,26.1,2.1,5,15.5,14.1,1.4,16.9,43.6,38.8,33.6,4.4,0.2,0.7,4.8
"W.P Putrajaya",2016,38.9,38.2,0.7,11.2,17.7,17.4,0.3,4.2,21.1,20.8,0.3,7,38.9,37,36.4,0.1,0.4,0,1.9
"Johor",2017,1671.7,1614.7,57,823.3,1088.6,1052.6,36,244.4,583.1,562.1,21,578.9,1671.7,1456,853.8,492,107.2,3.1,215.7
"Kedah",2017,930.8,904.4,26.4,507.5,563.9,547.6,16.3,169.9,366.9,356.8,10.1,337.6,930.8,861.7,676.3,113.2,63.6,8.7,69
"Kelantan",2017,694.8,670,24.8,442.3,421,406.8,14.2,152.7,273.8,263.2,10.6,289.6,694.8,659.1,627.3,24.8,1.7,5.2,35.8
"Malaysia",2017,14952.6,14450,502.6,7052.1,9195.9,8896.2,299.7,2290.5,5756.7,5553.8,202.9,4761.7,14952.6,12678.3,8438.3,3206.1,929.7,104.2,2274.3
"Melaka",2017,409.4,405.4,4,215,244.1,242,2.1,74.1,165.3,163.4,1.9,140.9,409.4,374,251.7,98.1,23,1.2,35.5
"N. Sembilan",2017,490.7,476.8,13.9,266.7,308.8,300.1,8.6,88.8,181.9,176.7,5.2,178,490.7,428.5,264.4,99.6,63.7,0.8,62.1
"P. Pinang",2017,839.5,822.2,17.3,403.5,496.4,486.4,10.1,130.4,343,335.9,7.2,273.1,839.5,724.3,331.7,319.5,70.7,2.4,115.2
"Pahang",2017,710.5,689.8,20.7,377.3,466.6,455.3,11.3,120.3,243.9,234.4,9.4,257,710.5,635.2,501.2,103.9,28.1,1.9,75.3
"Perak",2017,1048.4,1009.3,39,615.6,648.5,626.9,21.5,206.3,399.9,382.4,17.5,409.3,1048.4,972.6,563.1,289.5,117.3,2.8,75.7
"Perlis",2017,101.4,97.9,3.5,67.8,63.2,61.5,1.7,20.6,38.2,36.4,1.8,47.2,101.4,96.9,86.1,7.6,1.2,2,4.5
"Sabah",2017,1903.4,1795.9,107.5,877.8,1248.2,1178.1,70.1,224.2,655.1,617.8,37.4,653.6,1903.4,1125.6,918.1,153.8,2.8,50.9,777.8
"Sarawak",2017,1290.7,1251.8,38.9,612.3,823.6,799.9,23.7,183.5,467.1,451.9,15.2,428.8,1290.7,1129.2,849,276.5,2.4,1.3,161.5
"Selangor",2017,3457.6,3359.5,98.1,1109.9,1968.1,1914.8,53.3,434.8,1489.5,1444.7,44.8,675.1,3457.6,2964,1680.9,887.8,378.1,17.1,493.6
"Terengganu",2017,456.4,435.9,20.5,302.3,291.1,278.1,13,97.1,165.3,157.8,7.4,205.2,456.4,439,425,13.7,0.2,0.1,17.3
"W.P Kuala Lumpur",2017,867.9,840.9,27,395.4,518.5,503.6,14.9,133.6,349.5,337.4,12.1,261.8,867.9,739.7,343.2,321.7,68.8,6.2,128.2
"W.P Labuan",2017,41.8,38.2,3.6,23.8,28,25.5,2.5,5.5,13.8,12.7,1.1,18.3,41.8,37,31.6,4.5,0.3,0.5,4.8
"W.P Putrajaya",2017,37.7,37.2,0.6,11.6,17.3,17,0.3,4.3,20.5,20.2,0.2,7.3,37.7,35.5,35,0,0.5,0,2.2
