"ConState","Year","TotInsLabour","InsLabEmp","InsLabUnemp","TotOutLabour","TotInsLabourM","InsLabEmpM","InsLabUnempM","TotOutLabourM","TotInsLabourF","InsLabEmpF","InsLabUnempF","TotOutLabourF","AllTotalWorkForce","SubTotWorkForce","BumiWorkForce","ChineseWorkForce","IndianWorkForce","OtherWorkForce","SubTotForeignWorkForce"
"N. Sembilan",1989,241,229.3,11.8,125,152.3,145.2,7.1,29.6,88.8,84.1,4.6,95.4,241,236.3,106.7,82.7,45.3,1.6,4.7
"P. Pinang",1989,453.9,436.3,17.6,252.3,292.842,279.493,13.349,57.952,161,156.8,4.3,194.3,453.9,450.2,140.4,254.5,53.1,2.2,3.7
"Pahang",1989,393.8,379.1,14.7,210.5,275.9,267.2,8.7,36,117.9,111.9,6,174.5,393.8,381.4,268,89.6,22.9,0.8,12.4
"Perak",1989,726.5,686.7,39.7,425.2,460.4,434.1,26.2,98.1,266.1,252.6,13.5,327.1,726.5,719.2,307.3,306.1,105.3,0.5,7.3
"Perlis",1989,70.9,66.3,4.5,46.1,49.5,46.8,2.8,9.7,21.3,19.6,1.8,36.4,70.9,69.9,56.8,9.9,1.8,1.5,0.9
"Sabah",1989,477.5,442.3,35.2,249.6,340.3,316.8,23.5,42.8,137.2,125.5,11.7,206.8,477.5,368.9,240.8,77.9,2.2,47.9,108.6
"Sarawak",1989,760,687.2,72.8,216.9,449.4,419.1,30.3,37.9,310.6,268.1,42.5,178.9,760,754.4,534.6,208.1,4.3,7.5,5.6
"Selangor",1989,936.8,900.3,36.5,478,604.1,578,26,105,332.7,322.2,10.5,373,936.8,918.2,428.2,328.5,158.9,2.7,18.5
"Terengganu",1989,262.1,229.9,32.2,123.1,174.8,157.3,17.5,23.9,87.3,72.7,14.7,99.3,262.1,249.5,232.4,15.8,1.2,0.1,12.6
"W.P Kuala Lumpur",1989,524.3,504.7,19.6,263.1,339.6,325.4,14.2,60.9,184.7,179.3,5.4,202.3,524.3,511.8,171.5,267.7,71.5,1.1,12.5
"W.P Labuan",1989,14.7,13.4,1.3,9.1,11.3,10.4,0.9,1.3,3.3,3,0.4,7.8,14.7,11.6,7.7,2.9,0.2,0.8,3
"Johor",1990,949.1,914.1,35.1,449.6,610,589.4,20.7,87.6,339.1,324.7,14.4,362,949.1,911.5,389.4,374.6,57.2,90.3,37.7
"Kedah",1990,489.3,467.6,21.6,301,326.5,314.6,11.9,63.8,162.8,153.1,9.7,237.3,489.3,487.6,346.1,90,47.4,4.1,1.7
"Kelantan",1990,390.7,377.7,13.1,220.1,236.1,228.5,7.6,60,154.7,149.2,5.5,160.1,390.7,379.6,346.1,24.9,1.8,6.8,11.1
"Malaysia",1990,7000.2,6685,315.2,3519.7,4489.8,4310.7,179.1,775.1,2510.3,2374.3,136.1,2744.6,7000.2,6751.1,3748.6,2237.7,594.7,170.1,249.1
"Melaka",1990,187.8,180,7.8,106.7,114.73,110.97,3.76,26.345,73.114,69.074,4.04,80.348,187.8,184.3,99,64.3,15.1,5.8,3.6
"N. Sembilan",1990,224.5,216,8.5,124.5,139.8,134.9,4.8,30.6,84.7,81,3.7,93.9,224.5,221.5,108,69.3,42.3,2,3
"P. Pinang",1990,470.3,457.2,13.1,239.9,292.79,285.827,6.963,56.941,177.5,171.4,6.1,182.9,470.3,468,147.2,261.1,57.6,2.1,2.3
"Pahang",1990,442.5,428.8,13.7,245.3,305.6,298.7,6.9,41.9,136.9,130.1,6.8,203.4,442.5,427.5,308.9,89.7,28.5,0.5,15
