"ConState","Year","AllTotalEdu","NonEduc","Primary","Secondary","Tertiary","AllTotalCert","UPSRAEquiv","PMRSRPLCEEquiv","SPMEquiv","STPMEquiv","Certificate","Diploma","Degree","ReligCert","NoCert","NoRelevant"
"Sabah",1990,479.9,92.1,166.4,202.1,19.3,479.9,0,58.5,60.4,5.5,0,5.7,7.4,0,250.4,92
"Sarawak",1990,775.4,167.2,254.3,311.1,42.8,775.4,0,72.4,94.1,8.2,0,19.4,10.4,0,403.8,167.2
"Selangor",1990,1060,41.8,276.8,594.9,146.5,1060,0,89.1,304.3,39.8,0,43.1,55.8,0.4,486,41.5
"Terengganu",1990,244.6,38.5,82.6,104.9,18.6,244.6,0,17.9,55.1,4.9,0,6.4,3.4,0.3,118.5,38.1
"W.P Kuala Lumpur",1990,503.9,14.1,121.4,297.5,70.9,503.9,0,41.5,161.6,23.4,0,17.3,26.2,0.3,219.8,13.8
"W.P Labuan",1990,15.7,0.6,5.8,7.9,1.4,15.7,0,2.4,3,0.3,0,0.3,0.8,0.1,8.4,0.4
"Johor",1992,947.1,54.9,325.8,488.9,77.4,947.1,0,108.9,203.7,28.3,0,28.4,17.6,0,505.1,54.9
"Kedah",1992,514,50.6,190.8,233.4,39.2,514,0,60.7,103.3,15.7,0,13.5,7.1,0,263.2,50.6
"Kelantan",1992,404.1,73.5,115.6,166.7,48.2,404.1,0,41.4,81.5,16.4,0,15.8,8.7,0,166.7,73.5
"Melaka",1992,214.4,10.4,70.2,115.5,18.3,214.4,0,25.3,51.2,4.2,0,7.9,4.6,0,110.9,10.4
"N. Sembilan",1992,259.8,11.3,96.5,130.1,21.9,259.8,0,27.6,52.7,6.2,0,9.5,5.6,0,146.9,11.3
"P. Pinang",1992,521.4,16.7,119.8,330.3,54.5,521.4,0,82,168.3,21.9,0,15.3,16.7,0,200.6,16.7
"Pahang",1992,428.9,33.1,159,203.4,33.3,428.9,0,51.2,90.1,10,0,14.7,8,0,221.8,33.1
"Perak",1992,719.7,53.9,270.2,337.6,57.9,719.7,0,80.7,126.8,17.6,0,26.3,11.2,0,403.1,53.9
"Perlis",1992,68.8,6.6,24.7,30.8,6.6,68.8,0,7.1,14.3,2,0,2.5,1.6,0,34.6,6.6
"Sabah",1992,524.3,107.3,179.4,214.1,23.4,524.3,0,54.2,65.3,7.3,0,6.4,7.3,0,276.4,107.3
"Sarawak",1992,771.1,150.3,236.6,335.6,48.7,771.1,0,80.7,106,12.4,0,17.6,13.8,0,390.3,150.3
"Selangor",1992,1092.8,41.9,236.1,636.3,178.6,1092.8,0,199.2,357.7,57.1,0,50.1,69.7,0,317.1,41.9
"Terengganu",1992,267.7,33.4,85.6,119.5,29.2,267.7,0,23.9,58.5,9.2,0,12.6,5.5,0,124.7,33.4
"W.P Kuala Lumpur",1992,569.6,14.9,99.9,356.6,98.1,569.6,0,117.4,201.4,32.9,0,26,37.3,0,139.6,14.9
"W.P Labuan",1992,15.4,0.9,5.3,8.6,0.5,15.4,0,2.3,2.7,0.1,0,0.3,0.3,0,8.8,0.9
"Johor",1993,1003,44,363.6,510.7,84.7,1003,0,97.7,226.1,29.3,0,31.3,22.3,0,552.4,44
"Kedah",1993,492.8,43.7,187.5,218.3,43.4,492.8,0,52.7,93.1,10.3,0,13.5,10.5,0,269,43.7
"Kelantan",1993,413.7,70.9,120.1,173.9,48.8,413.7,0,50,94,14.4,0,16.1,11.6,0,156.5,70.9
"Melaka",1993,225.6,11.4,70.8,130.6,12.8,225.6,0,27.6,52.4,3,0,6.6,2.5,0,122,11.4
"N. Sembilan",1993,292.6,14,94,150.2,34.5,292.6,0,26.5,56.7,9.9,0,14.1,8.7,0,162.7,14
"P. Pinang",1993,543.1,24.6,106.7,355.8,56,543.1,0,103.8,212.7,31.3,0,6.2,17.6,0,146.9,24.6
"Pahang",1993,393.2,30.6,141.5,187,34.1,393.2,0,40.8,84.2,10.5,0,15.5,5.6,0,206.1,30.6
"Perak",1993,699.6,41.3,273.7,332,52.6,699.6,0,82.3,136.2,12.2,0,22.9,13.5,0,391.1,41.3
"Perlis",1993,71.7,8.8,21.8,35.9,5.2,71.7,0,4.7,22.3,1,0,1.9,0.9,0,32.1,8.8
"Sabah",1993,725.3,120.9,224.2,340.2,39.9,725.3,0,89.9,120.3,17.2,0,8,11.4,0,357.6,120.9
"Sarawak",1993,810.2,136.4,261.3,350.6,62,810.2,0,93.1,117.3,16.9,0,20.4,16.2,0,410.1,136.4
"Selangor",1993,1110.1,36.7,253.9,649.3,170.1,1110.1,0,171.8,354.5,47.2,0,49.8,67.3,0,382.9,36.7
"Terengganu",1993,302.1,28.8,95,149.9,28.4,302.1,0,28.8,76.2,7.1,0,11.8,5.4,0,143.9,28.8
"W.P Kuala Lumpur",1993,598.6,12.9,124.4,358.4,102.8,598.6,0,89.4,192.1,30.3,0,30.1,37.9,0,205.9,12.9
"W.P Labuan",1993,18.4,1.5,4.1,11.9,1,18.4,0,4.3,4.4,0.1,0,0,0.7,0,7.5,1.5
"Johor",1995,915.4,49,261.5,523.1,81.9,915.4,0,148.9,276.1,28.1,0,29.1,22.8,0,361.4,49
"Kedah",1995,531.7,50,182.7,255.1,44,531.7,0,69,116.7,16.2,0,14.2,7.6,0,254.8,50
"Kelantan",1995,427.6,63.1,126.3,187.3,50.9,427.6,0,54.7,90.5,17.9,0,17.6,7.1,0,176.7,63.1
"Melaka",1995,227.9,10.2,60.6,135,22.1,227.9,0,29.7,68.4,5.6,0,8.5,6.7,0,98.8,10.2
"N. Sembilan",1995,305.6,16.9,101.2,158.6,29,305.6,0,30,61.4,9.3,0,11,7.8,0,169.3,16.9
"P. Pinang",1995,492.7,16,88.3,330,58.1,492.7,0,99.3,185,23.9,0,17.1,16.1,0,135.2,16
"Pahang",1995,385.1,36.5,134.8,183.4,30.4,385.1,0,60.9,94.5,9.7,0,14,5.9,0,163.5,36.5
"Perak",1995,659.9,39.9,234.5,338.2,47.3,659.9,0,93.7,139.9,14.1,0,21.1,9.8,0,341.5,39.9
"Perlis",1995,71.8,8.4,22.4,35,6,71.8,0,9,16.4,2.2,0,1.9,1.4,0,32.6,8.4
"Sabah",1995,764.7,134.4,268.4,317.6,44.4,764.7,0,91.6,109.6,14.2,0,10.8,11.6,0,392.5,134.4
"Sarawak",1995,828.6,145.8,242.4,374.4,66,828.6,0,93.8,133,17.5,0,28.2,14.6,0,395.6,145.8
"Selangor",1995,1366,57,259.7,795.2,254,1366,0,200.9,455,73.4,0,87,98.7,0,391.6,57
"Terengganu",1995,284.9,29.6,83.9,137.2,34.2,284.9,0,34.9,78.1,12.9,0,12.9,7.2,0,109.2,29.6
"W.P Kuala Lumpur",1995,598.4,17.5,103.8,373.4,103.7,598.4,0,93.4,217.3,31.3,0,36.1,44,0,158.7,17.5
"W.P Labuan",1995,32.6,2.6,9.3,18.3,2.4,32.6,0,4.3,9.2,0.5,0,0.8,1,0,14.1,2.6
"Johor",1996,1018.4,38.6,310.4,572.9,96.4,1018.4,0,133.9,283.2,33.1,0,35,23.2,0,471.4,38.6
"Kedah",1996,549.8,49.7,194,264.9,41.1,549.8,0,65.1,129.4,14.6,0,13.6,8.4,0,269,49.7
