"ConState","Year","AllTotalMarital","NeverMarried","Married","Widow","DivorcePermSeparate","AllTotalAge","Age15to19","Age20to24","Age25to29","Age30to34","Age35to39","Age40to44","Age45to49","Age50to54","Age55to59","Age60to64"
"P. Pinang",1995,492.7,214,266.7,9.2,2.7,492.7,37.6,105.4,82.6,71.7,58.2,53,39.1,24.6,13.3,7.4
"Pahang",1995,385.1,125.2,245.6,10.1,4.2,385.1,30.1,55.8,54.6,60.1,56.1,46.2,36,20.7,18.4,7
"Perak",1995,659.9,215.2,420.8,19.5,4.2,659.9,52.6,91.2,78.3,85.7,95.2,78.7,72.7,53.1,33.8,18.7
"Perlis",1995,71.8,18,51.1,2.2,0.5,71.8,5.9,8.8,8.8,9,9.7,9.9,7.3,5.5,3.5,3.3
"Sabah",1995,764.7,263.6,470.5,20,10.7,764.7,74.6,133.9,140.4,125.5,95.3,72.2,45.2,37.3,22.7,17.7
"Sarawak",1995,828.6,276.8,519.7,20.6,11.5,828.6,88.5,139,127.7,117.6,98.3,84.8,65.5,51.2,31.2,24.9
"Selangor",1995,1366,550.1,785.9,23.8,6.1,1366,90.9,269.3,262.5,223.5,187.5,136.8,92.2,54.1,33.5,15.6
"Terengganu",1995,284.9,93.5,179.4,7.6,4.4,284.9,26.6,45.8,41,44.6,36.2,27.6,22.9,18.9,14,7.4
"W.P Kuala Lumpur",1995,598.4,242.3,338.4,12.3,5.4,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1995,32.6,11,21,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0
"Johor",1996,1018.4,374.8,615.9,21.4,6.1,1018.4,81,189.3,166.9,146.3,131.1,118.1,82.3,54.5,31.3,17.7
"Kedah",1996,549.8,160.4,366.5,16.6,6.1,549.8,43.3,85.2,71.4,72.1,66.5,61.4,59.2,43,27.2,20.4
"Kelantan",1996,460.8,109.9,326.1,13.9,10.8,460.8,34.6,62,61.2,60.1,59.9,52,41.2,40,32.9,16.9
"Melaka",1996,240.6,83.4,151.3,4,1.9,240.6,18.5,41.6,36.1,35.1,33.2,27.4,20.3,13.6,8.2,6.7
"N. Sembilan",1996,327.5,112.3,205.7,6.9,2.8,327.5,26.3,51.2,49.4,47.3,46.3,40,27.9,19.5,12.6,6.9
"P. Pinang",1996,452.4,178.4,262,7.8,4.2,452.4,25.4,93.4,84.2,69.6,58.5,44.9,34.4,23.1,12.1,6.8
"Pahang",1996,417,133.9,270.7,9.5,3,417,35.3,62.8,60.5,59.6,59.9,45.4,40.4,26.7,16.2,10.2
"Perak",1996,746.9,241.9,475.1,25.3,4.6,746.9,63.8,101.9,96,101.4,100.4,86.3,82.1,52.8,37.6,24.7
"Perlis",1996,71.5,16.4,52.6,1.7,0.8,71.5,4.5,8.6,8,11,10.2,9.1,7.6,5.8,4,2.6
"Sabah",1996,1032.3,380,615.8,25,11.4,1032.3,113.4,207.1,189.2,155.9,125.2,88.7,62,43.3,28.4,19
"Sarawak",1996,869.5,288.9,552.3,18,10.3,869.5,88.2,144.4,137.4,122.2,107.6,87.9,69.1,51.3,35.8,25.7
"Selangor",1996,1371.1,541.6,796.9,23.3,9.2,1371.1,93.7,270.3,254.6,214.8,188.8,141.3,101.9,57.4,30.6,17.7
"Terengganu",1996,308.1,92.7,201.5,8.1,5.9,308.1,27.9,49.7,43.6,45.8,40.4,33,22.4,21.7,14.3,9.4
"W.P Kuala Lumpur",1996,710.8,300.6,389.9,16.2,4,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1996,39.4,13,25.4,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0
"Johor",1997,1076.9,395.6,655.2,18.9,7,1076.9,85.3,199.5,170.8,148.4,137.9,122.1,94.5,54.9,39.5,24.1
"Kedah",1997,616.6,178.1,418.6,13.8,6.1,616.6,51,97.2,79.6,83,75.9,69.3,64.9,41.5,31.8,22.3
"Kelantan",1997,429.3,99.9,308.3,12.8,8.3,429.3,31.9,54.2,52.7,56.7,64.4,46.7,46.3,36.7,23.2,16.4
"Melaka",1997,261.5,93.4,159.7,5.1,3.4,261.5,20.4,47.9,40,38.4,34.8,28.2,22.4,14.5,9.4,5.4
